"name","slug","aliases","category","kind","overview","mechanism_of_action","research_applications","dose_range","common_cycle_length","break_before_continuing","administration_notes","administration","half_life","fda_status","development_stage","keywords","pubmed_query","reference_1_title","reference_1_journal","reference_1_year","reference_1_url","reference_2_title","reference_2_journal","reference_2_year","reference_2_url","reference_3_title","reference_3_journal","reference_3_year","reference_3_url","notes_to_developer","content_status"
"Epithalon","epithalon","Epitalon|Epithalamin Tetrapeptide|Ala-Glu-Asp-Gly","Longevity & Mitochondrial","peptide","Synthetic tetrapeptide analogue of epithalamin from the pineal gland.","Synthetic tetrapeptide analogue of epithalamin from the pineal gland. Activates telomerase in somatic cells, regulates melatonin synthesis, normalizes circadian rhythms, and modulates hypothalamic-pituitary-adrenal axis function.","","5â€“10 mg/day for 10â€“20 days","Varies by research protocol","Protocol-dependent","Subcutaneous injection, intravenous","Subcutaneous injection, intravenous","~30 minutes","Research only / status to be verified","Content pending researcher verification","Epitalon|Epithalamin Tetrapeptide|Ala-Glu-Asp-Gly|Epithalon|Longevity & Mitochondrial","Epithalon","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Follistatin-344","follistatin-344","FS-344|Follistatin","Growth Factor","peptide","Autocrine glycoprotein that binds and neutralizes activin and myostatin (GDF-8) with high affinity.","Autocrine glycoprotein that binds and neutralizes activin and myostatin (GDF-8) with high affinity. Removes the endogenous brake on muscle growth, allowing increased satellite cell proliferation and myofiber hypertrophy. Also modulates FSH levels.","","100â€“300 mcg/day (research dosing)","Varies by research protocol","Protocol-dependent","Subcutaneous injection","Subcutaneous injection","Variable; rapid clearance (native protein)","Research only / status to be verified","Content pending researcher verification","FS-344|Follistatin|Follistatin-344|Growth Factor","Follistatin-344","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"FOXO4-DRI","foxo4-dri","","Longevity & Mitochondrial","peptide","","","","","","","","","","","","FOXO4-DRI|Longevity & Mitochondrial|peptide","FOXO4-DRI","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"GHK Base","ghk-base","","Cosmetic & Dermal","peptide","","","","","","","","","","","","GHK Base|Cosmetic & Dermal|peptide","GHK Base","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"GHK-Cu","ghk-cu","","Cosmetic & Dermal","peptide","Naturally occurring copper complex found in plasma.","Naturally occurring copper complex found in plasma. Stimulates collagen and glycosaminoglycan synthesis, activates metalloproteinases for tissue remodeling, modulates antioxidant gene expression, and promotes hair follicle cycling.","","Topical 0.1â€“1% concentration","Varies by research protocol","Protocol-dependent","Topical, subcutaneous injection","Topical, subcutaneous injection","Topical kinetics undefined","Research only / status to be verified","Content pending researcher verification","GHK-Cu|Cosmetic & Dermal","GHK-Cu","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"GHRP-2","ghrp-2","Growth Hormone Releasing Peptide-2|Pralmorelin","Growth Hormone Secretagogue","peptide","Synthetic hexapeptide ghrelin mimetic that activates GHS-R1a receptors.","Synthetic hexapeptide ghrelin mimetic that activates GHS-R1a receptors. Produces robust GH release, mildly elevates cortisol and prolactin. Stronger GH response than GHRP-6 with less appetite stimulation.","","100â€“300 mcg per injection, 2â€“3x daily","Varies by research protocol","Protocol-dependent","Subcutaneous injection, intranasal","Subcutaneous injection, intranasal","~1.5 hours","Research only / status to be verified","Content pending researcher verification","Growth Hormone Releasing Peptide-2|Pralmorelin|GHRP-2|Growth Hormone Secretagogue","GHRP-2","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"GHRP-6","ghrp-6","Growth Hormone Releasing Peptide-6|SKF-110679","Growth Hormone Secretagogue","peptide","First-generation synthetic hexapeptide ghrelin mimetic.","First-generation synthetic hexapeptide ghrelin mimetic. Activates GHS-R1a with strong GH-releasing effects. Notable for significant ghrelin-mediated appetite stimulation and gastric motility effects.","","100â€“300 mcg per injection, 2â€“3x daily","Varies by research protocol","Protocol-dependent","Subcutaneous injection","Subcutaneous injection","~2 hours","Research only / status to be verified","Content pending researcher verification","Growth Hormone Releasing Peptide-6|SKF-110679|GHRP-6|Growth Hormone Secretagogue","GHRP-6","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Glandokort","glandokort","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Glandokort|Bioregulator Peptide|bioregulator","Glandokort","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Glutathione","glutathione","","Immune Modulation","peptide","","","","","","","","","","","","Glutathione|Immune Modulation|peptide","Glutathione","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Gonadorelin","gonadorelin","GnRH|LHRH|Factrel|Lutrelef","Reproductive","peptide","Synthetic decapeptide identical to endogenous GnRH.","Synthetic decapeptide identical to endogenous GnRH. Pulsatile administration stimulates LH/FSH release from gonadotrophs; continuous administration causes receptor downregulation and gonadal suppression. Used diagnostically and therapeutically.","","100 mcg IV/SC (diagnostic); pulsatile dosing for therapy","Varies by research protocol","Protocol-dependent","Intravenous, subcutaneous injection, pulsatile pump","Intravenous, subcutaneous injection, pulsatile pump","2â€“4 minutes","Research only / status to be verified","Content pending researcher verification","GnRH|LHRH|Factrel|Lutrelef|Gonadorelin|Reproductive","Gonadorelin","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Gotratix","gotratix","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Gotratix|Bioregulator Peptide|bioregulator","Gotratix","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Hexarelin","hexarelin","Examorelin|HEX","Growth Hormone Secretagogue","peptide","Potent synthetic hexapeptide GHS-R1a agonist.","Potent synthetic hexapeptide GHS-R1a agonist. Produces the strongest GH release among GHRPs but also elevates cortisol and prolactin. Notable for cardiac-protective properties via CD36 receptor activation independent of GH."",
    research_applications: JSON.stringify([
      ""GH release (potent)"",
      ""Cardiac protection"",
      ""Body composition"",
      ""CD36 receptor studies"",
    ]),
    typical_dosage_range: ""100â€“200 mcg per injection, 2â€“3x daily"",
    half_life: ""~70 minutes"",
    administration_method: ""Subcutaneous injection"",
    pubmed_links: JSON.stringify([
      ""https://pubmed.ncbi.nlm.nih.gov/9694925/"",
      ""https://pubmed.ncbi.nlm.nih.gov/15563729/"",
    ]),
  },
  {
    slug: ""semaglutide"",
    name: ""Semaglutide"",
    aliases: JSON.stringify([""Ozempic"", ""Wegovy"", ""Rybelsus""]),
    category: ""Metabolic"",
    mechanism_of_action:
      ""GLP-1 receptor agonist with C-18 fatty diacid modification for albumin binding. Enhances insulin secretion, suppresses glucagon, delays gastric emptying, and acts on hypothalamic appetite centers. FDA-approved for T2D and obesity.","","0.25â€“2.4 mg/week","Varies by research protocol","Protocol-dependent","Subcutaneous injection, oral","Subcutaneous injection, oral","~7 days","Approved / marketed indication noted in source content","Approved","Examorelin|HEX|Hexarelin|Growth Hormone Secretagogue","Hexarelin","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Humanin","humanin","","Longevity & Mitochondrial","peptide","","","","","","","","","","","","Humanin|Longevity & Mitochondrial|peptide","Humanin","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"IGF-1","igf-1","","Growth Factor","peptide","","","","","","","","","","","","IGF-1|Growth Factor|peptide","IGF-1","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"IGF-1 LR3","igf-1-lr3","Long Arg3 IGF-1|Long R3 IGF-1","Growth Factor","peptide","Modified IGF-1 with Arg substitution at position 3 and 13-aa N-terminal extension.","Modified IGF-1 with Arg substitution at position 3 and 13-aa N-terminal extension. Has dramatically reduced IGFBP binding (~100x less), resulting in much higher free/active IGF-1 levels. Activates IGF-1R/PI3K/Akt and MAPK/ERK pathways for cell growth.","","20â€“100 mcg/day","Varies by research protocol","Protocol-dependent","Subcutaneous or intramuscular injection","Subcutaneous or intramuscular injection","~20â€“30 hours","Research only / status to be verified","Content pending researcher verification","Long Arg3 IGF-1|Long R3 IGF-1|IGF-1 LR3|Growth Factor","IGF-1 LR3","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Ipamorelin","ipamorelin","Ipamorelin Acetate|NNC 26-0161","Growth Hormone Secretagogue","peptide","Selective pentapeptide ghrelin receptor (GHS-R1a) agonist.","Selective pentapeptide ghrelin receptor (GHS-R1a) agonist. Produces clean GH release without significantly elevating cortisol, prolactin, or ACTH, making it the most selective GHRP studied.","","200â€“300 mcg per injection, 2â€“3x daily","Varies by research protocol","Protocol-dependent","Subcutaneous injection","Subcutaneous injection","~2 hours","Research only / status to be verified","Content pending researcher verification","Ipamorelin Acetate|NNC 26-0161|Ipamorelin|Growth Hormone Secretagogue","Ipamorelin","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Kisspeptin-10","kisspeptin-10","KP-10|Metastin 45-54","Reproductive","peptide","C-terminal decapeptide of kisspeptin that activates KISS1R (GPR54) on GnRH neurons.","C-terminal decapeptide of kisspeptin that activates KISS1R (GPR54) on GnRH neurons. Master regulator of the HPG axis; triggers pulsatile GnRH release which stimulates LH and FSH secretion from the anterior pituitary.","","0.3â€“10 nmol/kg IV infusion (clinical research)","Varies by research protocol","Protocol-dependent","Intravenous infusion, subcutaneous injection","Intravenous infusion, subcutaneous injection","~28 minutes","Research only / status to be verified","Content pending researcher verification","KP-10|Metastin 45-54|Kisspeptin-10|Reproductive","Kisspeptin-10","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"KPV","kpv","","Immune Modulation","bioregulator","","","","","","","","","","","","KPV|Immune Modulation|bioregulator","KPV","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"L-Carnitine","l-carnitine","","Metabolic","peptide","","","","","","","","","","","","L-Carnitine|Metabolic|peptide","L-Carnitine","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Libidon","libidon","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Libidon|Bioregulator Peptide|bioregulator","Libidon","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Lipo B","lipo-b","","Metabolic","peptide","","","","","","","","","","","","Lipo B|Metabolic|peptide","Lipo B","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Lipo C","lipo-c","","Metabolic","peptide","","","","","","","","","","","","Lipo C|Metabolic|peptide","Lipo C","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Liraglutide","liraglutide","","Metabolic","peptide","","","","","","","","","","","","Liraglutide|Metabolic|peptide","Liraglutide","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Livagen","livagen","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Livagen|Bioregulator Peptide|bioregulator","Livagen","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"LL-37","ll-37","Cathelicidin|hCAP18 C-terminal peptide","Immune Modulation","peptide","Human cathelicidin antimicrobial peptide (37 aa, Leu-Leu N-terminus).","Human cathelicidin antimicrobial peptide (37 aa, Leu-Leu N-terminus). Forms amphipathic alpha-helix that disrupts microbial membranes. Also modulates TLR signaling, promotes angiogenesis, recruits immune cells via FPR2, and aids wound healing.","","Research-grade; no standard clinical dosing","Varies by research protocol","Protocol-dependent","Topical, subcutaneous injection","Topical, subcutaneous injection","~30 minutes (plasma)","Research only / status to be verified","Content pending researcher verification","Cathelicidin|hCAP18 C-terminal peptide|LL-37|Immune Modulation","LL-37","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Mazdutide","mazdutide","","Metabolic","peptide","","","","","","","","","","","","Mazdutide|Metabolic|peptide","Mazdutide","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Melanotan I","melanotan-i","Afamelanotide|NDP-Î±-MSH|Scenesse","Melanocortin","peptide","Synthetic linear analogue of Î±-MSH that selectively activates MC1R on melanocytes.","Synthetic linear analogue of Î±-MSH that selectively activates MC1R on melanocytes. Stimulates eumelanin synthesis via cAMP/PKA/MITF pathway. FDA-approved (as afamelanotide) for erythropoietic protoporphyria (EPP) photoprotection.","","16 mg subcutaneous implant (Scenesse)","Varies by research protocol","Protocol-dependent","Subcutaneous non-implant route, subcutaneous injection","Subcutaneous non-implant route, subcutaneous injection","~30 minutes","Approved / marketed indication noted in source content","Approved","Afamelanotide|NDP-Î±-MSH|Scenesse|Melanotan I|Melanocortin","Melanotan I","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Melanotan II","melanotan-ii","MT-II|MT-2","Melanocortin","peptide","Non-selective cyclic melanocortin agonist activating MC1R, MC3R, MC4R, and MC5R.","Non-selective cyclic melanocortin agonist activating MC1R, MC3R, MC4R, and MC5R. Induces skin tanning (MC1R), sexual arousal (MC4R), appetite suppression (MC4R), and potential lipolytic effects (MC3R). Precursor compound for PT-141.","","0.25â€“1 mg per injection","Varies by research protocol","Protocol-dependent","Subcutaneous injection","Subcutaneous injection","~1 hour","Research only / status to be verified","Content pending researcher verification","MT-II|MT-2|Melanotan II|Melanocortin","Melanotan II","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"MGF","mgf","Mechano Growth Factor|IGF-1Ec","Growth Factor","peptide","Splice variant of IGF-1 (IGF-1Ec in humans) produced by mechanically damaged muscle tissue.","Splice variant of IGF-1 (IGF-1Ec in humans) produced by mechanically damaged muscle tissue. Activates muscle satellite cells (stem cells), promotes proliferation without premature differentiation, and initiates the muscle repair cascade.","","200â€“400 mcg locally","Varies by research protocol","Protocol-dependent","Intramuscular injection (local)","Intramuscular injection (local)","~5â€“7 minutes (native)","Research only / status to be verified","Content pending researcher verification","Mechano Growth Factor|IGF-1Ec|MGF|Growth Factor","MGF","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"MK-677","mk-677","","Growth Hormone Secretagogue","peptide","","","","","","","","","","","","MK-677|Growth Hormone Secretagogue|peptide","MK-677","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Mod-GRF","mod-grf-1-29","","Growth Hormone Secretagogue","peptide","","","","","","","","","","","","Mod-GRF|Growth Hormone Secretagogue|peptide","Mod-GRF","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"MOTS-C","mots-c","Mitochondrial Open Reading Frame of the 12S rRNA-c","Longevity & Mitochondrial","peptide","Mitochondrial-derived peptide encoded by 12S rRNA.","Mitochondrial-derived peptide encoded by 12S rRNA. Activates AMPK, regulates AICAR and folate-methionine cycling, enhances glucose uptake in skeletal muscle, and improves metabolic homeostasis under stress conditions.","","5â€“10 mg/week","Varies by research protocol","Protocol-dependent","Subcutaneous injection","Subcutaneous injection","~4 hours (estimated)","Research only / status to be verified","Content pending researcher verification","Mitochondrial Open Reading Frame of the 12S rRNA-c|MOTS-C|Longevity & Mitochondrial","MOTS-C","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"NAD+","nad-plus","","Longevity & Mitochondrial","peptide","","","","","","","","","","","","NAD+|Longevity & Mitochondrial|peptide","NAD+","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Noopept","noopept","GVS-111|N-Phenylacetyl-L-prolylglycine ethyl ester","Nootropic & Neuropeptide","peptide","Dipeptide nootropic that modulates AMPA and NMDA glutamate receptors, increases NGF and BDNF in hippocampus and cortex, enhances alpha/beta1 EEG activity, and provides neuroprotection through antioxidant and anti-inflammatory mechanisms.","Dipeptide nootropic that modulates AMPA and NMDA glutamate receptors, increases NGF and BDNF in hippocampus and cortex, enhances alpha/beta1 EEG activity, and provides neuroprotection through antioxidant and anti-inflammatory mechanisms.","","10â€“30 mg/day","Varies by research protocol","Protocol-dependent","Oral, sublingual, intranasal","Oral, sublingual, intranasal","~5 minutes (active metabolite cycloprolylglycine longer)","Research only / status to be verified","Content pending researcher verification","GVS-111|N-Phenylacetyl-L-prolylglycine ethyl ester|Noopept|Nootropic & Neuropeptide","Noopept","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Normoftal","normoftal","","Bioregulator Peptide","bioregulator","","","","","","","","","","","","Normoftal|Bioregulator Peptide|bioregulator","Normoftal","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"Ovagen","ovagen","Liver Peptide Bioregulator|EDP Tripeptide","Bioregulator Peptide","bioregulator","Synthetic tripeptide bioregulator targeting hepatic and GI tissue.","Synthetic tripeptide bioregulator targeting hepatic and GI tissue. Normalizes liver cell gene expression, supports hepatobiliary function, modulates lipid metabolism pathways, and promotes GI mucosal integrity.","","10â€“20 mcg/day","Varies by research protocol","Protocol-dependent","Oral, sublingual","Oral, sublingual","Short (tripeptide)","Research only / status to be verified","Content pending researcher verification","Liver Peptide Bioregulator|EDP Tripeptide|Ovagen|Bioregulator Peptide","Ovagen","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"Oxytocin","oxytocin","","Nootropic & Neuropeptide","peptide","","","","","","","","","","","","Oxytocin|Nootropic & Neuropeptide|peptide","Oxytocin","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
"P21","p21","P021|Ac-DGGLAG-NH2-CNTF-derived","Nootropic & Neuropeptide","peptide","Small CNTF (ciliary neurotrophic factor)-derived peptide that inhibits leukemia inhibitory factor (LIF) signaling while enhancing BDNF/TrkB pathway.","Small CNTF (ciliary neurotrophic factor)-derived peptide that inhibits leukemia inhibitory factor (LIF) signaling while enhancing BDNF/TrkB pathway. Promotes neurogenesis in hippocampal dentate gyrus and reduces tau hyperphosphorylation.","","Research-grade; varies by study","Varies by research protocol","Protocol-dependent","Subcutaneous injection, oral (in animal studies)","Subcutaneous injection, oral (in animal studies)","Not fully characterized","Research only / status to be verified","Content pending researcher verification","P021|Ac-DGGLAG-NH2-CNTF-derived|P21|Nootropic & Neuropeptide","P21","","","","","","","","","","","","","Prefilled from current site catalog. Review cycle, break, and regulatory wording.","prefilled_from_site"
"P-21","p-21","","Nootropic & Neuropeptide","peptide","","","","","","","","","","","","P-21|Nootropic & Neuropeptide|peptide","P-21","","","","","","","","","","","","","Missing on current site. Needs primary-source research fill.","needs_online_research"
